"sector","country","year","Rem","TCC","TCP_1","Rem_relativa_eu","Rem_tcp_arg","Rem_relativa_eu_tcp"
"Professional services","Argentina",2006,0.00181372549019608,3.07775,4.13760266056034,-0.753183747725894,0.00134913719015615,-0.816406073092153
"Professional services","Argentina",2007,0.00174418604651163,3.11916666666667,4.55311234908122,-0.785664261085853,0.00119487650636208,-0.853166616362699
"Professional services","Argentina",2008,0.00145061728395062,3.18316666666667,5.56801849870742,-0.834159709987635,0.000829299792275131,-0.905191176487607
"Professional services","Argentina",2009,0.00168981481481481,3.75,7.06523643464366,-0.800669880355243,0.000896899291930792,-0.894201990891259
"Professional services","Argentina",2010,0.00178743961352657,3.89,7.76258689096076,-0.79307757885763,0.000895724607568004,-0.896306704253304
"Professional services","Argentina",2011,0.00211382113821138,4.11,9.24962419496044,-0.764748655064435,0.000939260308843924,-0.895467858228016
"Professional services","Argentina",2012,0.00196787148594378,4.552518519,12.0427547747658,-0.780590076842804,0.000743913793008822,-0.917056540873977
"Professional services","Argentina",2013,0.00212745098039216,5.49,14.8444506378925,-0.757188666351259,0.000786806205716964,-0.910199827918937
"Professional services","Argentina",2014,0.00232817869415808,8.1236,21.3297597151226,-0.730806315434448,0.000886704430451382,-0.897475553164048
"Professional services","Argentina",2015,0.00240942028985507,9.43,25.3426007827942,-0.709595928484147,0.000896547024832555,-0.891940435874532
"Professional services","Argentina",2016,0.00230555555555556,14.7774461886724,36.5722685591162,-0.720340819065172,0.000931586267396708,-0.887000488067823
"Professional services","Argentina",2017,0.00239341085271318,16.5567166666667,47.2745247712401,-0.705316948796613,0.000838232124956329,-0.896794651900732
"Professional services","Argentina",2018,0.00245983935742972,28.1124303451178,63.92614147514,-0.703335291070017,0.00108174935949818,-0.869537472883576
"Professional services","Argentina",2019,0.00227272727272727,48.2548583333333,99.8267630626399,-0.728082594838988,0.00109860451457232,-0.868558936883701
"Retail Trade","Argentina",2009,NA,3.75,7.06523643464366,NA,NA,NA
"Retail Trade","Argentina",2010,NA,3.89,7.76258689096076,NA,NA,NA
"Retail Trade","Argentina",2011,NA,4.11,9.24962419496044,NA,NA,NA
"Retail Trade","Argentina",2012,NA,4.552518519,12.0427547747658,NA,NA,NA
"Retail Trade","Argentina",2013,NA,5.49,14.8444506378925,NA,NA,NA
"Retail Trade","Argentina",2014,NA,8.1236,21.3297597151226,NA,NA,NA
"Retail Trade","Argentina",2015,NA,9.43,25.3426007827942,NA,NA,NA
"Retail Trade","Argentina",2016,NA,14.7774461886724,36.5722685591162,NA,NA,NA
"Retail Trade","Argentina",2017,NA,16.5567166666667,47.2745247712401,NA,NA,NA
"Retail Trade","Argentina",2018,NA,28.1124303451178,63.92614147514,NA,NA,NA
"Retail Trade","Argentina",2019,NA,48.2548583333333,99.8267630626399,NA,NA,NA
"Total Manufacturing","Argentina",1999,0.00264947683109118,1,1.94204817638903,-0.240229214010721,0.0013642693643252,-0.608778610527589
"Total Manufacturing","Argentina",2000,0.00272501906941266,1,1.95421063162881,-0.178478461600225,0.0013944346762362,-0.57961464076416
"Total Manufacturing","Argentina",2001,0.0026696352841391,1,2.06059852973482,-0.17583386274332,0.00129556303453379,-0.600035559880389
"Total Manufacturing","Argentina",2002,0.00194743935309973,3.14,3.1215238766912,-0.438232833712265,0.00195896613650605,-0.43490776562207
"Total Manufacturing","Argentina",2003,0.00173455056179775,2.93,3.62678218036872,-0.552871050905379,0.00140130641800791,-0.638774054880227
"Total Manufacturing","Argentina",2004,0.0014766081871345,2.93,3.52632076693515,-0.664851576166412,0.00122690539921142,-0.721527068371068
"Total Manufacturing","Argentina",2005,0.00156474820143885,2.92841666666667,3.95378151066347,-0.65561794143614,0.00115894990653171,-0.744929213392434
"Total Manufacturing","Argentina",2006,0.00178784489187174,3.07775,4.13760266056034,-0.620548618219969,0.00132988594299025,-0.7177456159806
"Total Manufacturing","Argentina",2007,0.00190625,3.11916666666667,4.55311234908122,-0.62685445928775,0.00130590044841155,-0.744371971704185
"Total Manufacturing","Argentina",2008,0.00227592592592593,3.18316666666667,5.56801849870742,-0.572262296890948,0.00130111844005039,-0.755467694848827
"Total Manufacturing","Argentina",2009,0.00240836791147994,3.75,7.06523643464366,-0.555423778680215,0.00127828413834324,-0.764033257008295
"Total Manufacturing","Argentina",2010,0.00267491749174917,3.89,7.76258689096076,-0.499241550739221,0.00134045894610481,-0.749059122302032
"Total Manufacturing","Argentina",2011,0.00308253968253968,4.11,9.24962419496044,-0.447155737515102,0.00136970300935478,-0.754347866365111
"Total Manufacturing","Argentina",2012,0.00344876660341556,4.552518519,12.0427547747658,-0.374292456446353,0.00130373607396348,-0.763463988698435
"Total Manufacturing","Argentina",2013,0.00362191358024691,5.49,14.8444506378925,-0.359335945844274,0.00133951104292119,-0.763059897391104
"Total Manufacturing","Argentina",2014,0.00360443622920518,8.1236,21.3297597151226,-0.349788649188186,0.00137277674679154,-0.752362098776484
"Total Manufacturing","Argentina",2015,0.00405367231638418,9.43,25.3426007827942,-0.237019487656271,0.00150837438789848,-0.716094401949219
"Total Manufacturing","Argentina",2016,0.00374766355140187,14.7774461886724,36.5722685591162,-0.271335085806553,0.00151428660692927,-0.705574551885892
"Total Manufacturing","Argentina",2017,0.00407766990291262,16.5567166666667,47.2745247712401,-0.20339161618141,0.0014281016164501,-0.721007892326832
"Total Manufacturing","Argentina",2018,0.00356829573934837,28.1124303451178,63.92614147514,-0.31660353576182,0.0015692088261298,-0.699466680521193
