,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
113,2007,Resto industria,16502,636500.0,0.025926158680282797,,,1.4597207637984138,1.045406646701571,0.01776103986684345
114,2008,Resto industria,18964,634910.0,0.029868800302405064,,,1.7492073402923984,1.2535363609397792,0.01707562026203948
115,2009,Resto industria,16394,583560.0,0.02809308383028309,,,1.8840630492383101,1.223506415269924,0.014910904304206048
116,2010,Resto industria,21677,590770.0,0.036692790764595355,,,1.9955236223549513,1.4283430244428186,0.018387550191610143
117,2011,Resto industria,24483,612850.0,0.03994941665986783,,,2.250516835756798,1.6176849656438348,0.017751218753461907
118,2012,Resto industria,27106,595690.0,0.0455035337172019,,,2.645295065688402,1.7692344305123848,0.017201685478273946
119,2012,Resto industria,27106,603170.0,0.044939237694182406,,,2.645295065688402,1.7692344305123848,0.016988364843332736
120,2012,Resto industria,27299,595690.0,0.04582752774093908,,,2.645295065688402,1.7692344305123848,0.017324164829609696
121,2012,Resto industria,27299,603170.0,0.045259213820315995,,,2.645295065688402,1.7692344305123848,0.017109325310194802
122,2013,Resto industria,36280,614110.0,0.05907736399016463,,,2.7039072200168492,1.8144801867546825,0.02184888725205464
123,2014,Resto industria,53336,619030.0,0.0861606061095585,,,2.6256536160227677,1.6721521353828568,0.03281491723956759
124,2015,Resto industria,63735,603020.0,0.1056930118404033,,,2.687444409628227,1.8053785023032782,0.039328445813331094
125,2016,Resto industria,76672,,,,,2.474870697695416,1.6086191011435709,
126,2002,Resto industria,19896,277558.0,0.07168231504766572,,3.14,0.9941158842965611,0.7066666934948361,0.07210659861690903
127,2003,Resto industria,22818,271474.0,0.08405224809742369,,2.93,1.2378096178732818,0.8402254851792774,0.06790401923183988
128,2004,Resto industria,25795,2879380.0,0.008958525793747264,,2.93,1.2035224460529526,0.8545070696306212,0.007443588462456567
129,2005,Resto industria,30614,2918140.0,0.010490929153501888,,,1.3501430843732851,0.9063353378572974,0.007770235077248579
130,2006,Resto industria,38929,3117110.0,0.012488811751911225,,,1.344359568048199,0.9263972315392778,0.009289785299064771
131,2007,Resto industria,49546,3391090.0,0.014610641416181817,,,1.4597207637984138,1.045406646701571,0.010009202978083782
132,2008,Resto industria,61873,3715080.0,0.016654553872325763,,,1.7492073402923984,1.2535363609397792,0.009521200539635158
133,2009,Resto industria,74341,3880760.0,0.019156299281584018,,,1.8840630492383101,1.223506415269924,0.010167546828822175
134,2010,Resto industria,98938,4110300.0,0.024070749093740115,,,1.9955236223549513,1.4283430244428186,0.012062372413980154
135,2011,Resto industria,128691,4357660.0,0.029532134218823863,,,2.250516835756798,1.6176849656438348,0.013122378713018102
136,2012,Resto industria,152900,4512370.0,0.033884632687479085,,,2.645295065688402,1.7692344305123848,0.012809396247318472
137,2012,Resto industria,152900,4428470.0,0.03452659722206541,,,2.645295065688402,1.7692344305123848,0.013052077883447885
