sector,year,capital_expenditures,compensation_employees,employment,exports_by_parent_to_affiliates,exports_by_parent_to_other,imports_by_parent_to_affiliates,imports_by_parent_to_other,liabilities,net_income,owners_equity,rd_expenditures,total_assets,total_sales,value_added,CI,TGasset,TGequity,PT,Rem,TP
  Health care and social assistance,2014,4870.0,41899.0,638700.0,5.0,,,,86823.0,4986.0,24507.0,,111330.0,90770.0,56746.0,34024.0,0.044785772029102666,0.20345207491737055,0.08884609362768123,0.005466703199206721,0.11900045347144324
  Health care and social assistance,2015,6073.0,58029.0,873400.0,,135.0,,,130552.0,7920.0,36595.0,,167147.0,125352.0,77812.0,47540.0,0.04738344092325917,0.2164230086077333,0.0890909090909091,0.0055366956720861,0.13648348239673266
  Health care and social assistance,2016,6550.0,57242.0,822200.0,,,3.0,,116656.0,7041.0,37725.0,,154380.0,123582.0,77272.0,46310.0,0.0456082394092499,0.18664015904572565,0.09398199951350036,0.00580171085705019,0.12300408790748052
  Health care and social assistance,2017,6359.0,57645.0,810600.0,,,3.0,,122334.0,6506.0,38540.0,,160874.0,128574.0,77507.0,51067.0,0.04044158782649775,0.16881162428645563,0.09561682704169751,0.005926165803108808,0.11286321450255876
  Health care and social assistance,2018,7256.0,61676.0,828100.0,,,3.0,,134068.0,9078.0,52195.0,,186262.0,138538.0,84270.0,54268.0,0.04873779944379422,0.17392470543155475,0.10176307209274242,0.006206577305478404,0.14718853362734288
  Health care and social assistance,2019,9145.0,85236.0,1101000.0,8.0,106.0,7.0,149.0,183786.0,6068.0,63499.0,2111.0,247285.0,182257.0,106282.0,75975.0,0.024538487979456902,0.09556056000881903,0.0965322434150772,0.006451407811080836,0.0711905767516073
  Insurance carriers and related activities,2009,11570.0,79831.0,798400.0,0.0,0.0,,,4337365.0,23087.0,692275.0,,5029639.0,750503.0,67402.0,683101.0,0.004590190270116801,0.033349463724675885,0.08442134268537074,0.008332393954575818,0.28919843168693865
  Insurance carriers and related activities,2010,8926.0,83714.0,812100.0,0.0,0.0,,,4442949.0,58378.0,763420.0,71.0,5206369.0,772700.0,84160.0,688540.0,0.011212804931805641,0.07646904718241597,0.10363255756680212,0.008590280343143292,0.6973505029027403
  Insurance carriers and related activities,2011,10473.0,86675.0,830100.0,0.0,0.0,,,4496035.0,67434.0,800579.0,112.0,5296614.0,805196.0,76715.0,728481.0,0.012731529992557509,0.08423153742478881,0.09241657631610649,0.008701260892261977,0.778009806749351
  Insurance carriers and related activities,2012,11059.0,91750.0,907100.0,0.0,0.0,,,4743240.0,52848.0,823849.0,,5567089.0,880958.0,83255.0,797703.0,0.009492932482308078,0.06414767754770595,0.09178150148825928,0.008428875904898395,0.576
