;year;sector;vab;emp;IPC;TCC;index_TCP_1;index_TCP_2;TCP_1;TCP_2;ipi_empalme_04;vab_ipc;vab_ipi;vab_tcp_1;vab_tcc;vab_ipi_index;emp_index;productividad_ipc_level;productividad_ipi_level;productividad_tcp_1_level;productividad_tcc_level;productividad_ipi_index_1
175;2012;Maquinarias, equipos y vehiculos;28272.0;61378.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;7226.983328851392;9084.809886334848;2347.6356140075836;6210.188905768622;1.97170571234341;1.4727774445110977;0.11774550048635328;0.14801410743808607;0.038248812506233236;0.10117939499117962;1.3387669126056831
176;2012;Minas y canteras;78105.0;35400.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;19965.461690009124;25097.944120408298;6485.642318621332;17156.437623268896;2.6551334656668186;2.9702970297029703;0.5639960929381108;0.708981472327918;0.18321023498930317;0.48464513060081627;0.8938949334411623
177;2012;Resto industria;270677.0;838523.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;69191.36129398373;86978.2500567154;22476.33577719053;59456.5401261578;1.665355056868179;1.6187921458398087;0.08251575841567105;0.10372792404825557;0.026804674143929896;0.07090627225032325;1.0287639837813853
178;2012;Total;469456.0;794878.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;120003.9150265018;150853.08821445997;38982.44286960753;103120.06377145283;1.8783499532258308;1.451617203664846;0.15097148873978372;0.18978143591149835;0.049042045281926946;0.12973068039554853;1.293970578802475
179;2012;Total Manufactura;236736.0;316631.0;3.9120057032833038;4.552518519;2.645295065688402;1.7692344305123848;12.042754774765772;8.054472509360052;3.1120078849999997;60515.24919846361;76071.78668829113;19657.960693184043;52001.10642317631;1.9315763231680814;1.1882292014575586;0.1911223133504414;0.24025375496489962;0.06208476331497561;0.1642325180515373;1.6255923695518384
180;2013;Alimentos, bebidas y tabaco;117475.0;135498.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;23929.841393262865;30600.831396938247;7913.731728146873;21397.99635701275;2.5969441475806736;1.2854865946910043;0.17660660226175195;0.22583972750105719;0.058404786256231626;0.15792112324176558;2.020203212002306
181;2013;Combustibles, quimicos y plasticos;105007.0;66971.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;21390.09027607877;27353.06663118361;7073.821898936103;19126.95810564663;1.7504128310152;1.3916630301519024;0.3193933236188614;0.40843150962631003;0.10562514967577165;0.2856006048236794;1.2577849616542156
182;2013;Comunicaciones;56025.0;66981.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;11412.38020053247;14593.841915415751;3774.1376468987323;10204.918032786885;1.3380243359321717;1.1281960586154625;0.1703823502266683;0.21788032300825236;0.05634639146771073;0.15235541471143885;1.1859856500245298
183;2013;Electricidad, gas y agua;26134.0;44956.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;5323.53670969595;6807.594192190544;1760.5232175645065;4760.2914389799635;0.9478429393123471;1.3924301554853498;0.11841660089189318;0.15142793380617814;0.039161028951964286;0.1058877889265051;0.680711298572792
184;2013;Maquinarias, equipos y vehiculos;39421.0;63020.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;8030.119408927988;10268.698655021943;2655.6051794448003;7180.510018214936;2.228648926038032;1.5121775644871025;0.1274217614872737;0.16294348865474362;0.04213908567827357;0.11394017801039251;1.4738010789056648
185;2013;Minas y canteras;91848.0;38724.0;4.90914244141516;5.49;2.7039072200168492;1.8144801867546825;14.844450637892503;9.961496225283208;3.8389479840000003;18709.58137721564;23925.304636271412;6187.362687949215;16730.05464480874;2.5310789087454664;3.249202886390334;0.48315208597292736;0.6178417683160679;0.1597810837710261;0.43203322603059446;0.7789845685990204
